game_id,team_id,HoA,won,settled_in,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,startRinkSide
2001020136,10,away,False,OT,1.0,17.0,,13.0,2.0,0.0,,,,,right
2001020139,22,away,True,REG,5.0,31.0,,59.0,3.0,0.0,,,,,right
2001020151,4,away,True,REG,5.0,35.0,,2.0,2.0,0.0,,,,,left
2001020159,28,home,True,REG,2.0,21.0,,10.0,4.0,2.0,,,,,right
2001020187,8,away,False,REG,0.0,17.0,,20.0,3.0,0.0,,,,,left
2001020218,5,away,False,OT,2.0,23.0,,10.0,3.0,0.0,,,,,left
2001020226,20,away,False,OT,3.0,26.0,,13.0,4.0,1.0,,,,,right
2001020233,4,away,True,REG,2.0,35.0,,4.0,2.0,0.0,,,,,right
2001020241,24,home,False,REG,0.0,19.0,,23.0,4.0,0.0,,,,,right
2001020262,12,away,False,REG,3.0,24.0,,12.0,4.0,1.0,,,,,left
2001020263,29,home,True,OT,3.0,29.0,,13.0,4.0,1.0,,,,,right
2001020287,7,away,False,REG,1.0,21.0,,10.0,7.0,1.0,,,,,right
2001020294,26,away,False,REG,2.0,10.0,,26.0,5.0,2.0,,,,,left
2001020298,2,away,False,REG,1.0,21.0,,25.0,5.0,1.0,,,,,
2001020340,9,home,False,REG,3.0,35.0,,11.0,6.0,2.0,,,,,right
2001020346,28,away,False,REG,1.0,23.0,,13.0,6.0,1.0,,,,,left
2001020349,12,home,False,REG,0.0,41.0,,6.0,9.0,0.0,,,,,left
2001020363,13,away,False,REG,1.0,14.0,,8.0,4.0,0.0,,,,,left
2001020369,8,away,False,OT,1.0,21.0,,4.0,3.0,0.0,,,,,right
2001020375,27,home,True,REG,1.0,24.0,,10.0,5.0,0.0,,,,,
2001020382,28,away,True,REG,5.0,26.0,,20.0,5.0,1.0,,,,,right
2001020402,20,away,True,REG,2.0,20.0,,21.0,5.0,0.0,,,,,left
2001020438,29,home,False,REG,0.0,26.0,,6.0,1.0,0.0,,,,,right
2001020444,8,home,True,REG,4.0,35.0,,20.0,8.0,0.0,,,,,left
2001020486,20,away,False,REG,0.0,9.0,,23.0,5.0,0.0,,,,,right
2001020498,25,home,False,REG,1.0,22.0,,14.0,5.0,0.0,,,,,left
2001020516,22,away,False,OT,3.0,15.0,,39.0,2.0,0.0,,,,,right
2001020532,12,away,False,OT,3.0,23.0,,6.0,4.0,1.0,,,,,left
2001020614,18,away,False,REG,1.0,20.0,,10.0,3.0,0.0,,,,,left
2001020622,21,away,False,REG,1.0,14.0,,8.0,1.0,0.0,,,,,left
2001020626,28,home,True,REG,6.0,35.0,,31.0,8.0,1.0,,,,,right
2001020641,5,home,False,REG,2.0,30.0,,9.0,5.0,0.0,,,,,right
2001020643,8,away,False,REG,2.0,17.0,,8.0,4.0,0.0,,,,,left
2001020651,21,home,True,REG,7.0,26.0,,14.0,6.0,3.0,,,,,left
2001020673,29,home,True,REG,5.0,29.0,,20.0,9.0,3.0,,,,,right
2001020708,26,home,True,REG,4.0,19.0,,12.0,5.0,0.0,,,,,left
